StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15_1,Q15_2,Q15_3,Q16,Q17,Q18,Q19_1,Q20,Q21,Q22,Q23
2025-06-16 22:56:04,2025-06-16 22:59:15,IP Address,176.201.61.212,100,191,True,2025-06-16 22:59:15,R_80kQVvg4WDjXeqT,,,,,40.9291,14.5304,anonymous,EN,Yes,Other,5 = Very Frequently,4 = Frequently,3 = Sometimes,4 = Frequently,5 = Very Frequently,3 = Sometimes,4 = 1–2 times per week,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,4 = Very,4 = Very,5 = Completely,5 = Completely,2 = It makes me see the product as slightly less valuable,3 = Neither Agree nor Disagree,4,Non-Binary / Other,25-34,Italian,Student
2025-06-16 22:57:33,2025-06-16 23:02:41,IP Address,151.46.182.5,100,308,True,2025-06-16 23:02:42,R_8hDyzRLCTG2EmAP,,,,,41.1122,16.8547,anonymous,EN,Yes,Friends or family recommendation,5 = Very Frequently,5 = Very Frequently,1 = Never,1 = Never,4 = Frequently,4 = Frequently,1 =  Never,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,1 = Not at all,4 = Very,5 = Completely,2 = Slightly,3 = It does not change my perception of the product’s value,5 = Strongly Agree,1 = Strong Preference for Brand A,Female,18-24,Italian,Student
2025-06-16 22:59:37,2025-06-16 23:05:16,IP Address,185.19.165.249,100,338,True,2025-06-16 23:05:17,R_2G9xalxf9Mt2uBE,,,,,43.7825,11.2516,anonymous,EN,Yes,Other,4 = Frequently,2 = Rarely,1 = Never,3 = Sometimes,3 = Sometimes,3 = Sometimes,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,4 = Very,5 = Completely,2 = Slightly,4 = It makes me see the product as a good deal,3 = Neither Agree nor Disagree,5,Female,18-24,Italian,Student
2025-06-16 22:59:28,2025-06-16 23:07:04,IP Address,82.61.53.71,100,456,True,2025-06-16 23:07:05,R_2U4a9OElqdxO4rx,,,,,39.1685,16.3075,anonymous,EN,Yes,TikTok,3 = Sometimes,3 = Sometimes,2 = Rarely,4 = Frequently,4 = Frequently,5 = Very Frequently,2 = Less than once a month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,3 = Moderately,1 = Not at all,3 = It does not change my perception of the product’s value,1 = Strongly Disagree,7 = Strong Preference for Brand B,Female,45-54,Italian,Employed full-time
2025-06-16 23:15:04,2025-06-16 23:21:05,IP Address,62.18.162.192,100,361,True,2025-06-16 23:21:06,R_2N3ySZizCltvdpF,,,,,40.8449,14.2716,anonymous,EN,Yes,Friends or family recommendation,1 = Never,3 = Sometimes,1 = Never,2 = Rarely,4 = Frequently,2 = Rarely,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand B,Brand B,Brand B,2 = Slightly,3 = Moderately,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,4,Female,18-24,Italian,Student
2025-06-16 23:16:43,2025-06-16 23:21:39,IP Address,83.8.48.94,100,296,True,2025-06-16 23:21:39,R_8KmIItlM9S1Yejf,,,,,54.336,18.6224,anonymous,EN,Yes,Friends or family recommendation,3 = Sometimes,2 = Rarely,1 = Never,4 = Frequently,4 = Frequently,3 = Sometimes,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand A,Brand A,Brand A,Brand B,2 = Slightly,4 = Very,5 = Completely,1 = Not at all,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,2,Male,18-24,Polish,Student
2025-06-16 23:09:19,2025-06-16 23:25:13,IP Address,95.233.199.170,100,954,True,2025-06-16 23:25:13,R_2is4i62XHFsCK1T,,,,,37.5619,15.0836,anonymous,EN,Yes,Friends or family recommendation,3 = Sometimes,5 = Very Frequently,1 = Never,4 = Frequently,3 = Sometimes,3 = Sometimes,5 = Daily or more,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,2 = Slightly,3 = It does not change my perception of the product’s value,4 = Agree,5,Female,18-24,Italian,Employed part-time
2025-06-16 23:46:10,2025-06-16 23:57:33,IP Address,93.33.84.39,100,683,True,2025-06-16 23:57:34,R_8InFeAvELrBq2Kj,,,,,43.1479,12.1097,anonymous,EN,Yes,Instagram,2 = Rarely,4 = Frequently,2 = Rarely,3 = Sometimes,3 = Sometimes,4 = Frequently,2 = Less than once a month,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,4 = Very,5 = Completely,2 = Slightly,3 = It does not change my perception of the product’s value,4 = Agree,1 = Strong Preference for Brand A,Female,35-44,Italian,Employed part-time
2025-06-16 23:55:19,2025-06-17 00:01:09,IP Address,2.196.50.194,100,350,True,2025-06-17 00:01:10,R_8bOBbpWQeFs3lxn,,,,,37.4925,15.0701,anonymous,EN,Yes,Friends or family recommendation,5 = Very Frequently,5 = Very Frequently,3 = Sometimes,2 = Rarely,4 = Frequently,3 = Sometimes,5 = Daily or more,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand A,3 = Moderately,4 = Very,5 = Completely,3 = Moderately,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,5,Female,18-24,Italian,Student
2025-06-17 00:08:30,2025-06-17 00:13:33,IP Address,62.18.45.123,100,302,True,2025-06-17 00:13:33,R_8Vo3ADprSRdmS9b,,,,,37.4925,15.0701,anonymous,EN,Yes,TikTok,5 = Very Frequently,5 = Very Frequently,2 = Rarely,3 = Sometimes,2 = Rarely,3 = Sometimes,5 = Daily or more,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,3 = Moderately,1 = It makes me see the product as much less valuable,2 = Disagree,1 = Strong Preference for Brand A,Female,18-24,Italian,Student
2025-06-17 00:34:40,2025-06-17 00:38:58,IP Address,5.90.68.57,100,257,True,2025-06-17 00:38:58,R_8s1BXY03vCzldoa,,,,,45.6843,9.7213,anonymous,EN,Yes,In-store discovery,5 = Very Frequently,5 = Very Frequently,1 = Never,2 = Rarely,4 = Frequently,4 = Frequently,5 = Daily or more,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,5 = Completely,5 = Completely,2 = Slightly,4 = It makes me see the product as a good deal,4 = Agree,1 = Strong Preference for Brand A,Female,18-24,Italian,Student
2025-06-17 07:07:57,2025-06-17 07:13:53,IP Address,185.251.138.7,100,356,True,2025-06-17 07:13:53,R_8ElFQLcTKGlZL7t,,,,,43.1962,13.3716,anonymous,EN,Yes,TikTok,4 = Frequently,3 = Sometimes,2 = Rarely,1 = Never,4 = Frequently,3 = Sometimes,5 = Daily or more,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,4 = Very,3 = Moderately,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,3,Female,18-24,Italian,Student
2025-06-17 07:35:35,2025-06-17 07:36:23,IP Address,188.216.202.74,100,48,True,2025-06-17 07:36:23,R_8ccNH4wCsC2mGOt,,,,,44.4847,11.328,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 08:10:58,2025-06-17 08:14:23,IP Address,109.55.96.72,100,204,True,2025-06-17 08:14:23,R_21HyxWL8YUfFodX,,,,,40.8449,14.2716,anonymous,EN,Yes,"Traditional media (TV, radio, newspapers, magazines)",2 = Rarely,5 = Very Frequently,4 = Frequently,3 = Sometimes,1 = Never,5 = Very Frequently,3 = 1–2 times per month,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand B,Brand B,Brand B,1 = Not at all,1 = Not at all,4 = Very,4 = Very,3 = It does not change my perception of the product’s value,4 = Agree,1 = Strong Preference for Brand A,Female,45-54,Italian,Employed full-time
2025-06-17 08:03:13,2025-06-17 08:15:35,IP Address,37.182.119.45,100,741,True,2025-06-17 08:15:36,R_2WD2WnD47PyJhro,,,,,41.3126,16.2838,anonymous,EN,Yes,Friends or family recommendation,1 = Never,2 = Rarely,1 = Never,3 = Sometimes,4 = Frequently,3 = Sometimes,1 =  Never,Brand A,Brand B,Brand B,Brand B,Brand B,Brand B,Brand B,Brand B,Brand B,Brand A,1 = Not at all,3 = Moderately,5 = Completely,1 = Not at all,1 = It makes me see the product as much less valuable,4 = Agree,3,Female,45-54,Italian,Self-employed
2025-06-17 08:12:34,2025-06-17 08:17:49,IP Address,2.196.45.1,100,315,True,2025-06-17 08:17:50,R_2ptQ5cgTV3D16nv,,,,,37.4925,15.0701,anonymous,EN,Yes,Friends or family recommendation,3 = Sometimes,3 = Sometimes,3 = Sometimes,2 = Rarely,5 = Very Frequently,5 = Very Frequently,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,4 = Very,4 = Very,3 = Moderately,3 = It does not change my perception of the product’s value,2 = Disagree,1 = Strong Preference for Brand A,Female,18-24,Italian,Student
2025-06-17 09:00:57,2025-06-17 09:06:44,IP Address,101.56.198.111,100,346,True,2025-06-17 09:06:44,R_2knDanQqcJ9RO7z,,,,,45.0729,7.689,anonymous,EN,Yes,In-store discovery,4 = Frequently,3 = Sometimes,2 = Rarely,1 = Never,3 = Sometimes,3 = Sometimes,4 = 1–2 times per week,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,3 = Moderately,4 = Very,3 = Moderately,4 = It makes me see the product as a good deal,3 = Neither Agree nor Disagree,4,Female,18-24,Italian,Student
2025-06-17 09:26:12,2025-06-17 09:36:47,IP Address,81.56.127.134,100,635,True,2025-06-17 09:36:47,R_2FZOBIBuRGvUDMB,,,,,40.8449,14.2716,anonymous,EN,Yes,Friends or family recommendation,3 = Sometimes,3 = Sometimes,3 = Sometimes,4 = Frequently,3 = Sometimes,3 = Sometimes,3 = 1–2 times per month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,4 = Very,2 = Slightly,3 = It does not change my perception of the product’s value,4 = Agree,2,Prefer not to say,18-24,Italian,Student
2025-06-17 09:40:38,2025-06-17 09:40:46,IP Address,128.141.116.112,100,8,True,2025-06-17 09:40:47,R_8FsR7bohc0Hic7g,,,,,46.2356,6.0747,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 09:48:15,2025-06-17 09:48:47,IP Address,95.75.43.14,100,32,True,2025-06-17 09:48:48,R_8gImSj9XJ9XwZSV,,,,,44.6534,10.9231,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 09:48:55,2025-06-17 09:49:01,IP Address,95.75.43.14,100,6,True,2025-06-17 09:49:01,R_8E5J5jcQ10D6Fs9,,,,,44.6534,10.9231,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 09:49:53,2025-06-17 09:50:02,IP Address,95.75.43.14,100,8,True,2025-06-17 09:50:02,R_8E4QhNlhyeTteV6,,,,,44.6534,10.9231,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 09:35:38,2025-06-17 09:52:22,IP Address,37.163.63.170,100,1003,True,2025-06-17 09:52:22,R_2g6PUDTsVwC8Gx8,,,,,43.1479,12.1097,anonymous,EN,Yes,"Traditional media (TV, radio, newspapers, magazines)",1 = Never,4 = Frequently,3 = Sometimes,4 = Frequently,2 = Rarely,1 = Never,4 = 1–2 times per week,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,5 = Completely,1 = Not at all,3 = It does not change my perception of the product’s value,2 = Disagree,6,Female,45-54,Italian,Other
2025-06-17 09:52:28,2025-06-17 09:52:33,IP Address,95.75.43.14,100,5,True,2025-06-17 09:52:33,R_2nct7QRYWJEylxh,,,,,44.6534,10.9231,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 09:46:46,2025-06-17 09:52:49,IP Address,93.65.247.203,100,363,True,2025-06-17 09:52:49,R_88RIfEvbRwzqoUM,,,,,41.1122,16.8547,anonymous,EN,Yes,In-store discovery,1 = Never,2 = Rarely,3 = Sometimes,2 = Rarely,4 = Frequently,4 = Frequently,2 = Less than once a month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,4 = Very,5 = Completely,2 = Slightly,3 = It does not change my perception of the product’s value,1 = Strongly Disagree,1 = Strong Preference for Brand A,Female,35-44,Italian,Employed full-time
2025-06-17 09:52:45,2025-06-17 09:53:01,IP Address,95.246.36.54,100,15,True,2025-06-17 09:53:01,R_2q3cvvqIobIVreF,,,,,38.8825,16.6012,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 09:47:15,2025-06-17 09:55:26,IP Address,37.162.241.42,100,491,True,2025-06-17 09:55:27,R_85SoU5dW3QR8CzM,,,,,43.1479,12.1097,anonymous,EN,Yes,In-store discovery,5 = Very Frequently,4 = Frequently,2 = Rarely,3 = Sometimes,4 = Frequently,4 = Frequently,4 = 1–2 times per week,Brand B,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,3 = Moderately,2 = Slightly,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,3,Female,25-34,Italian,Student
2025-06-17 09:43:02,2025-06-17 10:22:37,IP Address,95.246.31.30,100,2374,True,2025-06-17 10:22:38,R_24IuHFCTL0XDR52,,,,,38.8825,16.6012,anonymous,EN,Yes,Other,1 = Never,4 = Frequently,1 = Never,1 = Never,3 = Sometimes,1 = Never,1 =  Never,Brand A,Brand A,Brand A,Brand B,Brand B,Brand A,Brand B,Brand B,Brand A,Brand B,1 = Not at all,1 = Not at all,5 = Completely,1 = Not at all,1 = It makes me see the product as much less valuable,4 = Agree,1 = Strong Preference for Brand A,Female,65 or Older,English,Other
2025-06-17 10:21:21,2025-06-17 10:28:48,IP Address,151.46.223.151,100,447,True,2025-06-17 10:28:49,R_8n3zyXPpRbHXD3S,,,,,40.4617,17.2436,anonymous,EN,Yes,In-store discovery,1 = Never,4 = Frequently,3 = Sometimes,1 = Never,5 = Very Frequently,5 = Very Frequently,2 = Less than once a month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,3 = Moderately,4 = It makes me see the product as a good deal,2 = Disagree,5,Female,18-24,Italian,Student
2025-06-17 10:34:34,2025-06-17 10:36:10,IP Address,194.34.233.36,100,95,True,2025-06-17 10:36:10,R_2fiIx2h7rLXlMzG,,,,,45.4722,9.1922,anonymous,EN,Yes,Friends or family recommendation,4 = Frequently,4 = Frequently,3 = Sometimes,3 = Sometimes,5 = Very Frequently,5 = Very Frequently,5 = Daily or more,Brand B,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand A,Brand A,Brand B,2 = Slightly,5 = Completely,3 = Moderately,3 = Moderately,2 = It makes me see the product as slightly less valuable,2 = Disagree,1 = Strong Preference for Brand A,Male,25-34,Dutch,Employed full-time
2025-06-17 10:34:35,2025-06-17 10:39:10,IP Address,81.56.68.208,100,275,True,2025-06-17 10:39:11,R_8flXXLKCVtbKs5c,,,,,44.1071,12.4191,anonymous,EN,Yes,TikTok,5 = Very Frequently,4 = Frequently,1 = Never,1 = Never,3 = Sometimes,2 = Rarely,4 = 1–2 times per week,Brand A,Brand B,Brand A,Brand B,Brand A,Brand B,Brand B,Brand A,Brand A,Brand B,3 = Moderately,5 = Completely,5 = Completely,4 = Very,2 = It makes me see the product as slightly less valuable,4 = Agree,1 = Strong Preference for Brand A,Female,18-24,Italian,Student
2025-06-17 10:36:30,2025-06-17 10:39:20,IP Address,81.56.56.59,100,170,True,2025-06-17 10:39:21,R_2a9pKiLdYK8DjsQ,,,,,41.1122,16.8547,anonymous,EN,Yes,Friends or family recommendation,3 = Sometimes,2 = Rarely,1 = Never,1 = Never,4 = Frequently,3 = Sometimes,4 = 1–2 times per week,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand B,Brand B,Brand B,2 = Slightly,3 = Moderately,4 = Very,1 = Not at all,2 = It makes me see the product as slightly less valuable,4 = Agree,2,Female,25-34,Italian,Employed full-time
2025-06-17 10:36:04,2025-06-17 10:41:12,IP Address,172.225.116.242,100,308,True,2025-06-17 10:41:14,R_2jjrLIinsHfIJat,,,,,43.1085,12.3948,anonymous,EN,Yes,Friends or family recommendation,3 = Sometimes,5 = Very Frequently,1 = Never,1 = Never,4 = Frequently,3 = Sometimes,5 = Daily or more,Brand B,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,3 = Moderately,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,2 = Disagree,4,Female,18-24,Italian,Employed part-time
2025-06-17 11:10:22,2025-06-17 11:10:33,IP Address,81.56.68.208,100,11,True,2025-06-17 11:10:33,R_2kpuxvFiDZ0mzPX,,,,,44.1071,12.4191,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-16 21:28:19,2025-06-17 11:13:22,IP Address,176.201.198.19,100,49503,True,2025-06-17 11:13:23,R_2s0jSFmkoakog5L,,,,,38.3564,15.8577,anonymous,EN,Yes,In-store discovery,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,3 = 1–2 times per month,Brand B,Brand B,Brand A,Brand B,Brand B,Brand B,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,3 = Moderately,2 = Slightly,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,1 = Strong Preference for Brand A,Female,45-54,Italian,Employed full-time
2025-06-17 11:11:30,2025-06-17 11:16:08,IP Address,81.56.68.208,100,277,True,2025-06-17 11:16:08,R_25ZSVWt9QOBTSNK,,,,,44.1071,12.4191,anonymous,EN,Yes,Other,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 =  Never,Brand A,Brand A,Brand A,Brand A,Brand B,Brand B,Brand B,Brand B,Brand B,Brand B,1 = Not at all,1 = Not at all,1 = Not at all,1 = Not at all,1 = It makes me see the product as much less valuable,3 = Neither Agree nor Disagree,4,Prefer not to say,55-64,Italian,Other
2025-06-17 11:01:28,2025-06-17 11:16:37,IP Address,93.41.34.99,100,909,True,2025-06-17 11:16:37,R_2dj7XEtikA6yQLc,,,,,43.5939,13.5086,anonymous,EN,Yes,Friends or family recommendation,1 = Never,1 = Never,1 = Never,1 = Never,3 = Sometimes,1 = Never,1 =  Never,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,1 = Not at all,3 = Moderately,4 = Very,3 = Moderately,4 = It makes me see the product as a good deal,3 = Neither Agree nor Disagree,2,Male,25-34,Italian,Student
2025-06-17 11:41:15,2025-06-17 11:44:06,IP Address,45.80.28.46,100,170,True,2025-06-17 11:44:06,R_8gMYxaQQQitX9n3,,,,,45.4722,9.1922,anonymous,EN,Yes,Other,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 = Never,1 =  Never,Brand B,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,5 = Completely,3 = Moderately,2 = It makes me see the product as slightly less valuable,4 = Agree,2,Male,18-24,Italian,Student
2025-06-17 11:33:10,2025-06-17 11:45:50,IP Address,109.52.220.226,100,760,True,2025-06-17 11:45:50,R_8kZgpd5HasFqpVo,,,,,40.9123,14.3789,anonymous,EN,Yes,TikTok,5 = Very Frequently,4 = Frequently,2 = Rarely,1 = Never,3 = Sometimes,4 = Frequently,5 = Daily or more,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,5 = Completely,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,4 = Agree,3,Female,18-24,Italian,Student
2025-06-17 12:04:17,2025-06-17 12:14:48,IP Address,130.25.23.198,100,630,True,2025-06-17 12:14:48,R_8MMtdhcE8skoLTh,,,,,40.8331,17.36,anonymous,EN,Yes,Friends or family recommendation,2 = Rarely,2 = Rarely,2 = Rarely,2 = Rarely,4 = Frequently,4 = Frequently,2 = Less than once a month,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,4 = Very,4 = Very,1 = Not at all,2 = It makes me see the product as slightly less valuable,2 = Disagree,5,Female,25-34,Italian,Employed full-time
2025-06-17 11:14:05,2025-06-17 12:55:01,IP Address,83.225.23.19,100,6055,True,2025-06-17 12:55:02,R_2MDJaXU6rbtNXmK,,,,,43.7825,11.2516,anonymous,EN,Yes,"Other social media (Facebook, YouTube, X, etc.)",1 = Never,3 = Sometimes,5 = Very Frequently,1 = Never,1 = Never,1 = Never,4 = 1–2 times per week,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,3 = Moderately,5 = Completely,3 = Moderately,3 = It does not change my perception of the product’s value,4 = Agree,2,Female,18-24,Italian,Student
2025-06-17 12:54:51,2025-06-17 12:55:05,IP Address,151.74.113.20,100,13,True,2025-06-17 12:55:05,R_8OJwI8MmQW7Ufg6,,,,,37.4925,15.0701,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 12:55:12,2025-06-17 12:58:03,IP Address,151.74.113.20,100,170,True,2025-06-17 12:58:04,R_8M6rfCYffkKn7bT,,,,,37.4925,15.0701,anonymous,EN,Yes,TikTok,4 = Frequently,4 = Frequently,2 = Rarely,2 = Rarely,3 = Sometimes,3 = Sometimes,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,5 = Completely,2 = Slightly,2 = It makes me see the product as slightly less valuable,3 = Neither Agree nor Disagree,4,Female,18-24,Italian,Student
2025-06-17 12:56:47,2025-06-17 13:00:27,IP Address,137.204.150.28,100,220,True,2025-06-17 13:00:28,R_8kprQmJHh8D5pFf,,,,,44.4847,11.328,anonymous,EN,Yes,In-store discovery,5 = Very Frequently,5 = Very Frequently,3 = Sometimes,4 = Frequently,4 = Frequently,1 = Never,3 = 1–2 times per month,Brand A,Brand A,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,5 = Completely,5 = Completely,3 = Moderately,1 = It makes me see the product as much less valuable,3 = Neither Agree nor Disagree,4,Female,18-24,Italian,Student
2025-06-17 12:56:35,2025-06-17 13:05:12,IP Address,151.68.249.62,100,517,True,2025-06-17 13:05:12,R_8DqIfvDfmMRLnLd,,,,,44.4847,11.328,anonymous,EN,Yes,Friends or family recommendation,2 = Rarely,2 = Rarely,3 = Sometimes,1 = Never,4 = Frequently,4 = Frequently,3 = 1–2 times per month,Brand A,Brand A,Brand B,Brand A,Brand B,Brand B,Brand A,Brand A,Brand A,Brand B,3 = Moderately,4 = Very,4 = Very,3 = Moderately,3 = It does not change my perception of the product’s value,4 = Agree,2,Female,18-24,Italian,Student
2025-06-17 13:03:40,2025-06-17 13:08:23,IP Address,77.63.24.37,100,282,True,2025-06-17 13:08:23,R_2NUTDQqoogApsGj,,,,,52.3402,4.9084,anonymous,EN,Yes,TikTok,5 = Very Frequently,2 = Rarely,1 = Never,1 = Never,3 = Sometimes,1 = Never,3 = 1–2 times per month,Brand B,Brand B,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,3 = Moderately,4 = Very,2 = Slightly,4 = It makes me see the product as a good deal,4 = Agree,4,Female,18-24,Greek,Employed part-time
2025-06-16 19:43:35,2025-06-17 13:40:54,IP Address,151.68.242.203,100,64639,True,2025-06-17 13:40:55,R_238Qigp8G25q8I9,,,,,44.4847,11.328,anonymous,EN,Yes,Instagram,5 = Very Frequently,4 = Frequently,1 = Never,1 = Never,3 = Sometimes,4 = Frequently,3 = 1–2 times per month,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,4 = Very,5 = Completely,2 = Slightly,4 = It makes me see the product as a good deal,3 = Neither Agree nor Disagree,3,Female,18-24,Italian,Student
2025-06-17 14:12:19,2025-06-17 14:18:24,IP Address,2.44.136.79,100,365,True,2025-06-17 14:18:25,R_278qZtw4k5w0HAx,,,,,37.4925,15.0701,anonymous,EN,Yes,Instagram,5 = Very Frequently,5 = Very Frequently,2 = Rarely,1 = Never,4 = Frequently,3 = Sometimes,4 = 1–2 times per week,Brand B,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,3 = Moderately,5 = Completely,5 = Completely,3 = Moderately,3 = It does not change my perception of the product’s value,4 = Agree,2,Female,18-24,Italian,Student
2025-06-17 14:27:51,2025-06-17 14:28:13,IP Address,158.47.247.211,100,21,True,2025-06-17 14:28:13,R_88zdeEC6Lm1inQt,,,,,41.8905,12.5127,anonymous,EN,No (the Survey Ends),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-17 14:28:21,2025-06-17 14:32:59,IP Address,158.47.247.211,100,278,True,2025-06-17 14:32:59,R_8hdh7mcZyqhbQWZ,,,,,41.8905,12.5127,anonymous,EN,Yes,In-store discovery,1 = Never,5 = Very Frequently,1 = Never,1 = Never,5 = Very Frequently,4 = Frequently,4 = 1–2 times per week,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,4 = Very,4 = Very,4 = Very,1 = Not at all,3 = It does not change my perception of the product’s value,4 = Agree,4,Female,18-24,Italian,Student
2025-06-17 13:46:11,2025-06-17 14:44:29,IP Address,193.206.111.199,100,3497,True,2025-06-17 14:44:29,R_2LFoZKtVS5PA52U,,,,,38.8825,16.6012,anonymous,EN,Yes,Instagram,3 = Sometimes,5 = Very Frequently,1 = Never,1 = Never,3 = Sometimes,2 = Rarely,4 = 1–2 times per week,Brand A,Brand A,Brand A,Brand A,Brand B,Brand A,Brand B,Brand A,Brand A,Brand B,2 = Slightly,5 = Completely,5 = Completely,3 = Moderately,3 = It does not change my perception of the product’s value,3 = Neither Agree nor Disagree,5,Female,18-24,Italian,Student
